P00027739T0000|0 28|Serum gamma glutamyltransferase
P01081904A0198|0 5|Fibrin
P08093616A1214|0 5|DNase I
P09211934A0722|0 5|DNase I
P07693672A0259|0 5|DNase I
P11094072A0842|0 5|DNase I
P09705324A0213|0 5|DNase I
P09761723A0226|0 5|GETS-1
P09001245A0187|0 5|NUP145
P11578685A0077|0 5|ICAM-1
P11413148A0573|0 5|STAT5A
P06233924T0000|0 5|Fibrin
P09271394A0558|0 5|DNase I
P08476854A0097|0 5|DNase I
P08617800A0675|0 5|DNase I
P09058373A0670|0 4|RNase
P02204029A0184|0 4|RNase
P07678006A0472|0 4|RNase
P07679390A0721|0 4|RNase
P09002648A0202|0 4|BCL-2
P10400757A0000|0 4|CXCR4
P10407985A0574|0 4|G-CSF
P10394900A1166|0 4|G-box
P09882303A1413|0 4|TRAF2
P05362866T0000|0 4|Renin
P10505694A0739|0 4|IL-12
P08898336A0268|0 4|RNase
P08887661A0138|0 4|IRF-1
P08977235A0134|0 4|G-CSF
P09244350A0000|0 4|BRCA1
P09257887A0457|0 4|G-CSF
P08204348T0000|0 4|VP-16
P06775834A0000|0 4|HLA-A
P08196618A0473|0 4|PRL-1
P08504933A0000|0 4|Pit-1
P08575618A1138|0 4|RNase
P10477597A0126|0 4|TRAF2
P07972831A0563|0 4|PAI-1
P08072547T0000|0 4|c-Fos
P11264176A0181|0 4|B-myb
P09584194A0000|0 3|HEF1
P07957085A0207|0 3|Cbf3
P07879204T0000|0 3|OKT3
P08647086A0622|0 3|Cdk2
P09475724T0000|0 3|TOR2
P10594239A0614|0 3|Tih1
P10438950A0580|0 3|IL-1
P11108720A0124|0 3|S6K2
P11274184A0000|0 3|Nrf2
P11263664T0000|0 3|SIP1
P10487921A0132|0 3|ATF1
P11560992A0651|0 3|SAPK
P11559366T0000|0 3|E2F1
P10086725A0000|0 3|MDS1
P10393197A0543|0 3|DDP1
P09770378A0641|0 3|EGFR
P09844106A0835|0 3|Pyk2
P10850329A0248|0 3|IL-2
P09115279A0345|0 3|Cdc2
P08336698T0000|0 3|TFEC
P08070654A0000|0 3|KAR1
P10735848A1440|0 3|RegA
P03062370A0000|0 3|GCN4
P07783641A0591|0 3|CodY
P01837842A1410|0 3|CREB
P07791769A0826|0 3|ICP4
P10742114A0486|0 3|Dll3
P09443973A1028|0 3|CES4
P10490843A0159|0 3|BCL6
P10947840A0762|0 3|Mis3
P09788739A1096|0 3|CKII
P10487762A0252|0 3|NuA4
P10478848A0331|0 3|SF-1
P08509335T0000|0 3|SSG1
P10931950A0869|0 3|Cdk2
P09286981A0147|0 3|ArgR
P01588961A0000|0 3|STP1
P07654239A0698|0 2|Max
P10773951A0000|0 2|IgM
P10767553A0100|0 2|Hex
P11150315A0844|0 2|NGF
P09488491A0000|0 2|E2F
P09716183A1036|0 2|TBP
P09165004A1700|0 2|SRE
P09242506A1033|0 2|E2F
P11012680A0676|0 2|Src
P09366517A0835|0 2|PKA
P09880103A0387|0 2|MPO
P09799237A0624|0 2|SRF
P09819110A0703|0 2|CD4
P10413676A0000|0 2|FAK
P10376991A0977|0 2|Ras
P09512550T0000|0 2|E1A
P10817754T0000|0 2|H19
P10679065A0711|0 2|BCR
P09121430A0132|0 2|Shc
P10681520A0525|0 2|Ras
P09006914A0812|0 2|JNK
P09006935A0590|0 2|Sp1
P09045636A0789|0 2|CD3
P08798782A0976|0 2|Lck
P10704410T0000|0 2|Clb
P09261397A0509|0 2|Gag
P09234703A0192|0 2|JNK
P09611234A0098|0 2|Rev
P09639074A0707|0 2|Sp1
P07951410A1332|0 2|E1A
P07665948A0591|0 2|IgE
P07538173A0307|0 2|MBP
P01730412T0000|0 2|Max
P07585246T0000|0 2|SL1
P09488441A0615|0 2|Sp1
P11150315A1126|0 2|NGF
P10918572A0794|0 2|VaI
P01098592A0567|0 2|IgG
P10526670A0236|0 2|Rac
P11292844A0081|0 2|HSF
P11569900A0660|0 2|APC
P09915860A0119|0 2|Sp1
P08293993A0948|0 2|ENV
P08721999A0727|0 2|U24
P08617238A0334|0 2|TNF
P08631908A0224|0 2|VDR
P08396667T0000|0 2|BCR
P08566747A0756|0 2|SBF
P02200315A0278|0 2|IgG
P08392623A1374|0 2|IE2
P08649405T0000|0 2|Sp1
P08128629A1164|0 2|CRS
P08131746A0140|0 2|MEK
P09148935A0805|0 1|FN
P08555597A0808|0 1|Hb
P09361007A0922|1 25|DNase I-hypersensitive site
P02840376A0461|1 8|anti-IIa
P09038192A0846|1 3|MEK
P08521717A0126|2 17|immunoperoxidase
P09819411A0897|2 7|DNase I
P10779508A0452|2 7|DNase I
P09770493A0499|2 5|PP2A
P02482293A1518|2 4|TNF
P00050628A0202|2 4|IgG
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P03123310A0000|3 32|Drosophila melanogaster Gart gene
P09712297T0000|3 32|prothrombin gene G20210A mutation
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P10972990A0196|3 28|tumor-suppressor protein p53
P08396120A0690|3 28|rhaB transcription start site
P02247072A0794|3 25|SUP44 suppressor mutation
P03346210A0000|3 23|epidermal growth factor
P10022925A0870|3 21|Nmd3 protein sequence
P01549346A0000|3 20|c-Ets-1 oncoprotein
P09819430A0000|3 20|Ras-related GTPases
P09057840A0946|3 20|recombinant protein
P08530342T0000|3 19|human gp39 promoter
P02406570A0466|3 19|ABFI-binding sites
P08087887A1067|3 19|polyubiquitin gene
P02868446A0184|3 19|C-terminal domains
P07647303T0000|3 18|homeobox gene ATK1
P09694860A0498|3 18|C-terminal region
P10650938T0000|3 18|estrogen receptor
P08503348A0226|3 17|HMG CoA reductase
P09368014A0740|3 17|lysozyme FEF site
P09421507A0000|3 17|SR protein family
P03137346A0319|3 15|nucleolin gene
P10843716A0406|3 15|tryptase locus
P10051400A0000|3 15|Lp mouse mutant
P07937106A0100|3 15|v-ets oncogene
P08223425T0000|3 15|yeast SSS1 gene
P08491383A0154|3 15|alpha-subunit
P02022920A0334|3 15|C4BP alpha gene
P08567683A0401|3 15|human purH cDNA
P06120429T0000|3 15|thyroglobulin
P02004705A0686|3 14|cdr1 sequence
P07774807A0405|3 14|bHLH proteins
P10369965A0000|3 13|Aa-Pri2 gene
P08972182A0000|3 13|Fas receptor
P10458907A0543|3 13|human RAD30B
P08977401A0227|3 13|RI alpha gene
P07514301A0000|3 12|interferon
P01744042A1355|3 12|csbA fusion
P09029159A0000|3 12|interferon
P08597636A0000|3 12|T-box motif
P11331589A0113|3 12|MSL complex
P09023197T0000|3 12|dnaK operon
P07947930A0499|3 12|fibrinogen
P10567524T0000|3 12|elm1 kinase
P07731686A0000|3 11|TTG-2 gene
P09754571A1257|3 11|hBRAG gene
P02187871T0000|3 11|ANB1 locus
P09528784A0000|3 11|mei4+ gene
P08524294A0652|3 11|skp1+ gene
P07677715A1076|3 11|TAF factor
P11098217A0674|3 11|Aie1 locus
P10773667A0351|3 11|HMG domain
P08496157A0000|3 11|bcl-2 gene
P08125319A1085|3 11|ipiO genes
P06698047A0445|3 11|Prolactin
P07779812A0000|3 11|c-myc gene
P07857762A0611|3 11|MAP kinase
P01569945A0529|3 10|SEN1 gene
P08063108A0109|3 10|acfD gene
P08007975A0000|3 10|IPL1 gene
P07626806A1098|3 10|RAT3 gene
P02247069A0261|3 10|TUP1 gene
P02138915A1060|3 9|p36 gene
P11355576A1125|3 9|cyclins
P07964624A0491|3 9|P131 ORF
P07592658A0309|3 9|insulin
P10652800A0984|3 9|insulin
P09328476A0068|3 9|U6 snRNP
P08429019A0735|3 8|DNase I
P09426068A0826|3 7|c-myc
P11278488T0000|3 7|v-Src
P08134108A0277|3 7|c-myc
P01545818A0696|3 6|p130
P08749393A0783|3 6|PI3K
P09241232A0653|3 6|Ogg1
P08647086A0720|3 6|Cdk2
P01710979T0000|3 5|SH2
P10597232A0000|3 5|RET
P08835895A1292|3 5|CD4
P09528770A1379|3 5|RAS
P11080796A1277|3 5|Tax
P08302589A1132|3 5|HGF
P07876300A0994|3 5|p97
P01422265A0263|3 5|IgG
P01780235A0094|3 5|EPO
P07326596A0061|3 5|IgA
P02424743A0280|3 4|N1
P02170687A0000|3 4|E6
P11570820T0000|4 24|casein kinase I isoforms
P08564488A1359|4 13|fibrinogen
P09867253A0229|4 8|c-Jun
P09020138A0833|4 7|HEF1
P09308234A0225|4 6|Max
P02487898A0315|4 6|NGF
P07891708A0690|4 6|Epo
P08392623A1374|4 6|IE2
P08631908A0224|4 6|RXR
P11160742A0696|4 4|Z
P02278474A0000|5 29|Fibrin Degradation Products
P02468795A1086|5 28|prostatic acid phosphatase
P09827878A0091|5 25|glutathione peroxidase
P02991060A0465|5 17|IgG antibodies
P10750020A0843|5 16|growth factor
P09539421A0970|5 15|Sir proteins
P09083291A1378|5 13|TGF-beta1
P10430890A1059|5 12|elongin C
P00445259T0000|5 12|ferritin
P10640683A0204|5 11|NeuroD2
P10376873A0706|5 10|sgRNA2
P11203702A1307|5 10|Xlim-1
P09645576A0148|5 9|GBV-C
P09712898A0911|5 9|TRAF2
P10026784A2166|5 9|Oct-1
P07761434A1084|5 8|AP-1
P01459451A0478|5 8|VP16
P10662550A0679|5 8|SOX8
P09584194A0000|5 8|p130
P03862898A0563|5 7|IgM
P07535593A0714|5 7|CD3
P11560992A0651|5 7|JNK
P09389666A0538|5 7|Hex
P10330159A1258|5 7|VDR
P06946314T0000|5 7|IgE
P02029468A0296|5 7|TNF
P00369397A0280|5 7|FSH
P11113199A0800|5 7|MEK
P09175708A1526|5 7|PRL
P01695098A1116|5 7|IgG
P09400613A1209|5 7|GST
P08794254A2957|5 7|SPK
P09331864A0848|5 6|E2
P10390538T0000|6 37|Raf-responsive zinc-finger protein
P01328681A0149|6 24|LTR-binding proteins
P02417023T0001|6 24|superoxide dismutase
P05114515T0000|6 20|lysosomal enzyme
P08795304T0000|6 19|thrombomodulin
P11376165T0000|6 19|Cre recombinase
P08986812A1214|6 17|wild-type p53
P02200315A0278|6 16|IgM antibody
P00601401A0181|6 15|hemoglobin
P06851280A0144|6 15|fibrinogen
P01653238A1715|6 14|TGF-beta 1
P11287611A0802|6 14|PPARgamma
P10858988A0786|6 13|tryptase
P07937965T0000|6 10|c-myc
P01695322A0000|6 10|int-1
P11220486A0686|6 10|IL-12
P10871379A0261|6 9|VP16
P10817754T0000|6 9|Igf2
P09530251A0766|6 8|PBS
P07730337A1439|6 8|RC3
P08530503A1004|6 8|ARF
P09147420T0000|6 8|Sp1
P10682570A0453|6 8|SOD
P09006914A0812|6 8|p38
P02170687A0000|6 7|E7
P10807903A0362|6 7|CT
P07276210T0000|7 32|serum immunoreactive trypsin
P10873388A0623|7 23|human Rhotekin cDNA
P08048916A0000|7 22|insulin receptors
P07601827A0778|7 17|lacZ fusions
P00465681A0000|7 16|hemoglobin
P11160280A1275|7 15|IFN-gamma
P11080796A1277|7 14|IKKgamma
P08918810A0967|7 12|DNase I
P09442072A0716|7 12|DNase I
P09800187A0100|7 11|Trp53
P09524229A0000|7 11|lac-1
P10721717A0676|7 10|FGD1
P11114924A0808|7 10|ccdA
P10471746A1102|7 10|MyoD
P10931950A0869|7 10|MAPK
P10438950A0580|7 9|TNF
P08630583A1056|7 8|Hb
P07737508A0649|7 8|U6
P10690702A0065|8 38|Acetylcholine receptor antibodies
P10669751T0000|8 37|mitogen-activated protein kinase
P06084864T0001|8 32|maternal alpha fetoproteins
P09159183A0119|8 31|ocs element binding factors
P07798217T0095|8 31|glycogen synthase kinase-3
P10350454A0000|8 29|adenine-DNA glycosylase
P08621542A0535|8 21|protein kinases
P01324385A0329|8 20|IgG antibodies
P11167778T0000|8 19|antithrombin
P08534848A0188b|8 17|NR isoforms
P08534848A0188a|8 17|NR isoforms
P03582982A0000|8 17|human genes
P01931966A0490|8 16|ubiquitin
P03545955A1378|8 14|insulin
P09553143A0729|8 13|ZAP-70
P02832293T0000|8 13|CRF-41
P08604338A0198|8 12|FLI-1
P11358962A0344|8 12|Foxp2
P10483945A0641|8 12|CK-MB
P09032248A0239|8 12|Pho85
P10518502T0000|8 12|nos-2
P07891708A0690|8 12|HNF-4
P06316347A0852|8 11|lacZ
P08497280T0000|8 11|SWI6
P08683106A0374|8 11|IL-2
P07982964A1017|8 11|PC-1
P11361338A0447|8 11|PEX5
P06972179A0556|8 10|IgE
P08663310A0157|8 10|SRF
P08997532A0116|8 10|IgG
P11046153A1052|8 10|Tax
P02424743A0280|8 9|P2
P01321277A0664|8 8|R
P11160742A0696|8 8|R
P03930894T0000|9 40|muscarinic acetylcholine receptors
P08331728A0686|9 39|U2 small nuclear ribonucleoprotein
P09844921A0000|9 37|serine-threonine protein kinase
P01734570T0000|9 29|thromboxane synthetase
P09681822A0520|9 26|c-erbB3 transcripts
P09111059A0327|9 25|MAR-binding domain
P09556566A0174|9 24|vitamin D receptor
P00052597T0000|9 23|immunoglobulin E
P02781495T0001|9 23|xanthine oxidase
P11168446T0000|9 22|erythropoietin
P09794414T0000|9 22|protein kinase C
P11014821T0000|9 21|protein kinase
P07720710A0861|9 20|HMG2 proteins
P10926776A0731|9 20|PDP1 isoforms
P09426068A0826|9 17|TGF-alpha
P09473040A1303a|9 16|alcR gene
P09473040A1303b|9 16|alcR gene
P10639585A0157|9 15|MPO gene
P09738693T0000|9 15|rhG-CSF
P07713936A0393|9 13|meAda
P10455189A0104|9 12|HEF1
P01504853A0299|9 12|LHRH
P08980522A0280|9 12|cpm7
P09519828A0809|9 12|VP16
P11040219A0548|9 12|NusA
P08676456A0879|9 12|VP16
P08927612T0000|9 11|p53
P09053835A0865|9 11|p53
P09400613A1209|9 11|PKR
P09639074A0707|9 11|Sp3
P08321203A0840|9 11|p65
P07516337A1119|9 11|Lck
P07828600A0095|9 11|SSP
P08576179A0126|9 11|PKR
P10799595A1454|9 11|YY1
P11391303A0807|9 9|R
P09175708A1526|9 9|R
P09917555T0001|10 34|hematopoietic growth factor
P01577819A0709|10 29|PRP-precursor alleles
P08768374A0765|10 26|P-rr cDNA sequences
P03696899T0001|10 23|erythropoietin
P02126504A0602|10 22|Rh-antibodies
P02856622T0001|10 22|thyroglobulin
P07730273A1309|10 21|NarQ proteins
P01717994T0000|10 18|human cDNA
P08206848A0296|10 18|pyrP genes
P11800586A1090|10 17|DPPD gene
P00715753A0241|10 14|CK-MB
P09824158A1336|10 14|BCL-6
P07588633A0362|10 14|c-Fos
P01516829A0460|10 13|LexA
P08386318A1102|10 13|IL-6
P08647264T0000|10 13|CD40
P02000093A0794|10 13|La-O
P11121043A0074|10 13|BMPs
P10477748A1076|10 13|p193
P01545818A0696|10 12|p62
P06336045A0261a|10 12|Ft I
P10593950A1113|10 12|WT1
P06336045A0261b|10 12|Ft I
P11172610A0508|10 12|p73
P09040011A1316|10 12|p56
P09584194A0000|10 12|Cas
P10521450A0437|10 12|Akt
P08099443A0359|10 12|HRI
P07483285A0322|10 11|E6
P07064923T0000|11 34|phenylalanine hydroxylase
P04843031T0000|11 31|galactosyltransferase
P10037460A0221|11 29|muscarinic receptors
P09576230T0000|11 29|nitric oxide synthase
P09613574A0905|11 28|recombinant protein
P02062116A0688|11 26|monoamine oxidase
P08980533A1160|11 26|C-terminal region
P08189503A0000|11 25|full-length cDNA
P08144631A0000|11 25|tyrosine kinases
P03036415T0000|11 25|cyclo-oxygenase
P07784942T0001|11 24|thrombomodulin
P11287578A1311|11 23|interleukin-8
P11157774A0789|11 22|dSLBP alleles
P00528144T0000|11 21|transferrin
P00150066A0100|11 20|fibrinogen
P10825294A0473|11 20|OC promoter
P09811730T0000|11 20|interferon
P08731511A0625|11 20|fibrinogen
P09879766A0402|11 19|E1A region
P10702241A0357|11 19|a1 isoform
P09641167A1359|11 18|TNF alpha
P09257651T0000|11 17|U6 snRNP
P09618150A1464|11 17|insulin
P11162666A0442|11 17|insulin
P08144615A0533|11 16|NF-IL6
P01329039A0239|11 15|E-box
P11316127A0485|11 15|HCM-I
P07607197A1048|11 15|renin
P09557708A1426|11 15|actin
P08999857A0801|11 15|E-box
P01468625A1080|11 14|ACT1
P07760844A0413|11 14|AP-1
P10773351A0672|11 14|CD86
P11836303A0518|11 14|IL-6
P10563836A1234|11 14|AP-2
P07883168A0090|11 14|UPF1
P11238375A0617|11 14|RhoA
P09104816A0610|11 13|Vpu
P09368058A0969|11 13|CAK
P03862898A0563|11 13|IgE
P09454735A1782|11 13|MEK
P10706688A0376|11 13|TCR
P07937132A0819|11 13|U21
P07780148A1153|11 13|PML
P10574992A0901|11 13|E1A
P09710582A0535|11 13|Rho
P11391303A0807|11 13|LHR
P09523478A0572|11 13|IgM
P09020138A0833|11 13|Cas
P09635276A1608|12 28|myosin phosphatase
P10532805A0792|12 28|nerve growth factor
P08105727A0099|12 27|dopamine receptor
P07730337A1439|12 25|PKC-gamma genes
P10406843A1265|12 24|GlcNAc-TI mRNA
P10873158A0000|12 24|nuclear factor
P11056019A0926|12 22|glycosylase
P09117345A0945|12 22|alpha 4 beta 1
P10329586A0414|12 22|fibronectin
P02674679A1237|12 21|S1 nuclease
P02437792T0000|12 21|elastase-1
P02195025T0000|12 20|yeast LEU2
P10681562A0263|12 20|PPARgamma
P02324104A0516|12 20|C subunits
P07916003A0688|12 20|mouse gene
P10805286A0914|12 18|PCI mRNA
P09771967A1052|12 18|LB1 gene
P09915798A1077|12 16|hsp90
P08649773A1374|12 16|BCL-6
P04746559T0053|12 16|renin
P09864141A0528|12 16|Stat3
P07595374A1215|12 16|EBNA2
P01850105A1093|12 16|c-myc
P09829916T0000|12 15|lacZ
P09860979A0521|12 15|p130
P08264579A1209|12 15|PTR2
P09032259A0972|12 15|Rac1
P11114521A0282|12 15|RhoA
P09079650A0136|12 15|MAPK
P09199318A1147|12 15|p150
P02123295A0645|12 15|ARF2
P01406630A0965|12 14|p50
P10972990A0526|12 14|p53
P10903877A0879|12 14|PKA
P08343216A0883|12 14|IgG
P01547942A0120|12 14|LAP
P07700361A0125|12 14|SH2
P08756332A0000|12 14|Ras
P02204810A1080|12 14|GA2
P07853524A1944|12 14|GST
P08164684A1266|12 14|RXR
P10943891A1062|12 13|U6
P08570615T0000|12 13|RB
P08144037A0000|12 13|TR
P07491111A0221|12 13|GR
P08119958A0273|12 13|C2
P09407036T0000|13 52|calcineurin-dependent transcription factor
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P11083868A0386|13 36|glutathione S-transferase
P08519862T0001|13 33|anti-HCV IgM antibodies
P10633075A1111|13 33|anti-GalT Fab fragments
P01400401A0065|13 32|AMP deaminase variants
P00030937A0119|13 31|alkaline phosphatase
P06810694A0328|13 27|HDL-cholesterol
P11108151A0560|13 27|fibronectin mRNA
P01899846A0862|13 26|rbcL-rbcS locus
P07478525A1177|13 25|MHBst proteins
P01723962A0165|13 23|serum lipase
P06328012A0549|13 23|EBNA protein
P09620273A0189|13 21|Rb protein
P10918059A0569|13 21|RVH domain
P09105530A0000|13 20|lysozyme
P08432696A1117|13 20|apeA gene
P09514156A1147|13 18|DNase I
P07559555A0557|13 17|c-Jun
P01423454A0309|13 16|ANCA
P09489670A1157|13 16|HST6
P10747782A0390|13 16|Mbp1
P11470914A0305|13 16|Rac1
P09478921A0126|13 16|p210
P10022867A1069b|13 16|ETH1
P11084022A1178|13 16|ALK7
P09537651A0366|13 16|PEA3
P09315651T0000|13 16|AP-2
P10022867A1069a|13 16|ETH1
P10778740A1493|13 16|Cdk2
P11557127A0991|13 16|NF-Y
P00947834X0000|13 15|IgE
P08605705A0676|13 15|IgM
P10549354A1782|13 15|APC
P09662339A0744|13 15|ras
P09819288A0578|13 15|IgE
P00603783A0647|13 15|IgG
P01420363T0000|13 15|AP1
P10489680A0927|13 15|MPO
P09121430A0132|13 15|Ras
P09131139T0000|13 15|PAF
P08082440A0339a|13 15|FSH
P10454533A0859|13 15|HRI
P09642276A0881|13 15|Fak
P08868473A1287|13 15|p28
P08463284A1531|13 15|PKC
P08774732A0271|13 15|Sp1
P11046148A0716|13 15|Lyn
P07705627A1107|13 15|Mad
P08321203A0840|13 15|p50
P07483285A0322|13 14|E7
P01961996A0522|13 13|R
P08647822T0000|14 50|sterol regulatory element binding protein
P01333047A0404|14 34|epidermal growth factor
P10762254A0954|14 34|TMA methyltransferases
P09797456A0000|14 32|c-myc proto-oncogene
P02565807A1198|14 30|neu proto-oncogene
P07579328A0653|14 28|CAT reporter gene
P08530432A0093|14 27|mutant proteins
P09018122A1389|14 27|ORF-1 sequences
P07875595A0910|14 27|PITSLRE PK genes
P07947930A0499|14 26|serum proteins
P10487753A0788|14 25|XDRP1 protein
P03280807A0000|14 23|suf12 locus
P07761091A0294|14 23|MAP kinases
P00618078A0367|14 21|lysozyme
P01850096A0662|14 21|myogenin
P10051488A1610|14 21|AP-1 site
P08325504A0226|14 21|RD21 mRNA
P10932196A0359|14 21|RP2 locus
P01276105A0313|14 20|insulin
P07540866A1069|14 20|insulin
P08631797A0982|14 19|ErbB-2
P11094072A1234|14 18|c-Myb
P08063836A0904|14 18|c-Abl
P02982332T0001|14 18|VP-16
P08626809A0729|14 17|pPKR
P08836740A1025|14 17|CES4
P09572428A0526|14 17|VEGF
P07518426A0000|14 17|IL-8
P10823961A0664|14 17|TRBP
P09452444A0000|14 17|IL-6
P09535082A0537|14 16|Paf
P09647240A0000|14 16|p53
P08702756A0000|14 16|Rho
P09649426A0636|14 16|PKA
P01736093A0731|14 16|CAT
P03381039A0364|14 16|MAN
P10543728A0358|14 16|E1A
P09553040A0651|14 16|Epo
P09488486A0906|14 16|TBP
P10801482A0968|14 16|p65
P08676456A0879|14 16|Tat
P08289831A0290|14 16|CAT
P09765388T0000|14 16|p53
P09029159A0000|14 16|IFN
P03757294A0414|14 16|PLD
P01653236A0895|14 16|p50
P11236056A0374|14 15|Lp
P06321770A1353|15 46|chloramphenicol acetyltransferase
P08649424A0000|15 42|phenylalanine hydroxylase gene
P06833422T0000|15 35|20 alpha-hydroxy-9 beta
P06938948T0001|15 34|serum immunoglobulins
P07190627T0000|15 34|plasminogen activator
P01904546A0671|15 33|chromosomal AAR1 gene
P09294161A0650|15 30|wild-type protein
P05567721T0000|15 29|thromboplastins
P10477545T0000|15 28|pertussis toxin
P01714452A0559|15 26|human protein
P10512857A0000|15 26|beta-catenin
P08670910A0156|15 26|DNA ligase III
P10229668A0190|15 26|cdc33 mutants
P09154822T0000|15 25|Raf-1 kinase
P08707424A0709|15 25|ERV3 env mRNA
P00985279A0493|15 24|hemoglobin
P03814493T0000|15 24|interferon
P03104982A0690|15 24|hemoglobin
P11207216A0719|15 24|PGHS-2 mRNA
P01542667A0125|15 23|IFN-gamma
P01172734T0035|15 22|HL-A W-27
P10403575A1401|15 22|StAR gene
P10660604A0748|15 22|RXRalpha
P11528500A0571|15 21|NRL gene
P10712599A0349|15 19|IRF-1
P10505694A0000|15 19|IL-12
P09288848A0780|15 18|HbO2
P02289639A0989|15 18|HbA1
P02342477A1292|15 18|UTMP
P09346925A0660|15 18|Grb2
P10831972A0744|15 18|CD23
P09852752A0950|15 18|ANCA
P02368931A0587|15 17|IgE
P10881275T0000|15 17|IgM
P10498616A0157|15 17|Ras
P09829843A0819|15 17|CSF
P09541280A0404|15 17|IgE
P07575416A0000|15 17|PKC
P09278494A0762|15 17|Sp1
P08622645A1026|15 17|VDR
P11706949T0000|16 49|insulin-like growth factor I receptors
P01744119A0757|16 42|primase recognition sequences
P09609705A0895|16 38|mitochondrial bc1 complex
P06784123T0000|16 36|immunoglobulin C mu gene
P01378506A0884|16 34|full-deletion mutant
P03605895A0888|16 32|carboxyhemoglobin
P09268652A0116|16 32|zinc finger protein
P09714835A0345|16 32|carboxypeptidase D
P07557091A0314|16 32|human serum albumin
P03891766A1473|16 31|rheumatoid factor
P06890622A0067|16 31|anti-vasopressor
P10473598A0691|16 31|C-terminal region
