P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08709224T0000|0 31|Epstein-Barr virus nuclear protein 2
P01870194A0302|0 30|Human immunodeficiency virus type 1
P10865838A0000|0 30|Vascular endothelial growth factor
P08882710A0000|0 30|Interferon stimulated gene factor 3
P11689217T0000|0 30|Cholesteryl ester transfer protein
P01452584T0000|0 29|Pseudomonas aeruginosa exotoxin A
P09827993A0000|0 29|Retroviral nucleocapsid proteins
P11029459A0000|0 29|Transforming growth factor-beta1
P10212278A0387|0 29|Stress-inducible protein kinases
P10585463A0859|0 29|Recombinant prenylcysteine lyase
P08352268A0000|0 29|Recombinant human erythropoietin
P11062067A0000|0 29|Stress-activated protein kinase 1
P06684624A0736|0 29|Urinary N-acetylglucosaminidase
P10079173A0000|0 29|Human neuronal Elav-like proteins
P09784245T0000|0 28|Cardiac myosin-binding protein C
P11435428A0000|0 28|Cytosolic acetyl-CoA synthetase
P09426595T0000|0 28|Lysine-ketoglutarate reductase
P10747099A0507|0 28|Extracellular-regulated kinase
P11593394A0000|0 28|Transforming growth factor-beta
P11059786T0000|0 28|Epidermal growth factor receptor
P05789870T0001|0 28|Phosphate glucose dehydrogenase
P02243093A0000|0 28|Human T-cell leukemia virus type I
P00027739T0000|0 28|Serum gamma glutamyltransferase
P11264182A0000|0 28|Human T-cell leukemia virus type I
P03928678T0000|0 27|Thyrotropin-releasing hormone
P10545192T0000|0 27|Phosphatidylinositol 3-kinase
P02176822A0000|0 27|Multifunctional protein kinase
P01529530T0000|0 27|Interferon-alpha-induced gene
P08504928T0000|0 27|Drosophila 230-kD TFIID subunit
P11509615T0000|0 27|Phosphatidylinositol 3-kinase
P08816504T0000|0 27|Platelet-derived growth factor
P10490835T0000|0 27|Protein kinase A-Ialpha subunit
P00234264A0164|0 26|Gamma glutamyl transpeptidase
P07999995A0000|0 26|A receptor-like protein kinase
P08386317T0000|0 26|Nuclear protein phosphatase 2A
P09592125A0000|0 26|Class I alpha1,2-mannosidases
P08995410A0000|0 26|Eukaryotic initiation factor 3
P10375718A0000|0 26|Basic fibroblast growth factor
P07852400A0519|0 26|Rho GDP/GTP exchange inhibitor
P08355697A0000|0 26|Protein tyrosine phosphatases
P00033873T0001|0 26|Gamma glutamyl transpeptidase
P09230216T0000|0 26|Human thymine-DNA glycosylase
P02474093T0000|0 26|Angiotensin converting enzyme
P11029467T0000|0 26|Vasoactive intestinal peptide
P07521601A0000|0 25|Hematopoietic growth factors
P09365272T0000|0 25|Xenopus Ran-binding protein 1
P09333018A0000|0 25|Interferon Regulatory Factor
P07737944A0000|0 25|Hematopoietic growth factors
P08816792A0000|0 25|DNA-dependent protein kinase
P11145571A0788|0 25|IFN-stimulated gene factor-3
P01989999A0000|0 25|Adenylosuccinate synthetase
P01284828T0001|0 25|Tissue plasminogen activator
P03167060A0000|0 25|Insulin-like growth factor II
P10488088T0000|0 25|Insulin-like growth factor-I
P07567300T0000|0 25|Staphylococcal enterotoxin A
P10965905T0000|0 25|Insulin receptor substrate-1
P01930660T0000|0 24|Insulin-like growth factor 1
P08917449A0000|0 24|Leukemia-inhibitory factor
P08925545T0001|0 24|Recombinant erythropoietin
P08119149A0000|0 24|Tumor necrosis factor-alpha
P03014515T0000|0 24|Human alpha-galactosidase A
P07961958T0000|0 24|Rat kidney carboxylesterase
P09047344A0000|0 24|Calmodulin-binding peptide
P07628389A0145|0 24|Tumor necrosis factor-alpha
P10766246A0000|0 24|Integrin adhesion receptors
P09545638A0836|0 24|Recombinant HRMT1L2 protein
P10066798A0391|0 24|Cyclin D1-associated kinase
P09421521T0000|0 24|Holliday junction resolvase
P02489032A0000|0 23|Immunoglobulin light chain
P10811804A0000|0 23|Mitogen-activated protein
P08647086T0000|0 23|Cyclin-dependent kinase-2
P02648646A0216|0 23|Platelet activating factor
P09380507A0514|0 23|Glutathione S-transferase
P10212284A0000|0 23|Transforming growth factor
P10232600T0000|0 23|Prostate-specific antigen
P10196318T0000|0 23|CCAAT displacement protein
P09924987A0000|0 23|Pokeweed antiviral protein
P09763470A0000|0 23|Dopamine beta-hydroxylase
P09843577A0000|0 23|Schizosaccharomyces pombe
P07820057A0000|0 23|Tumor necrosis factor alpha
P07963540A0795|0 23|Recombinant I-kappa B alpha
P00780639X0000|0 22|Carcinoembryonic antigen
P07557276A0526|0 22|Alanine aminotransferase
P02739739T0000|0 22|COUP transcription factor
P10452951A0000|0 22|Nuclear hormone receptors
P01873999A0000|0 22|Saccharomyces cerevisiae
P08188258A0000|0 22|Glutamyl-tRNA synthetase
P10611320A0816|0 22|Saccharomyces cerevisiae
P09521907A0190|0 22|Drosophila orthodenticle
P11356835A0000|0 22|Saccharomyces cerevisiae
P07688112A0274|0 22|Prostate specific antigen
P01992953T0000|0 22|Alanine aminotransferase
P01694525A0000|0 22|Isopenicillin N isomerase
P09748261A0000|0 22|Saccharomyces cerevisiae
P02392511T0000|0 21|Serotonin 5-HT2 receptor
P01572549A0000|0 21|Protein tyrosine kinases
P09199970A1101|0 21|Recombinant soluble pMCP
P10402467T0000|0 21|Myosin light chain kinase
P09360993T0000|0 21|Mouse mast cell protease 9
P10799590A0431|0 21|Jkappa DNA-binding sites
P09773975A1873|0 21|Wild-type AT1A receptors
P04518624T0000|0 20|Glutathione peroxidase
P08824798A0761|0 20|Human ESP1/CRP2 protein
P09234727A0770|0 20|Gal4-Eed fusion protein
P04364369T0000|0 20|Pre-beta-1 lipoprotein
P02209811T0000|0 20|Horseradish peroxidase
P07112320A0086|0 20|CSF adenosine deaminase
P02252891T0000|0 19|65-kilodalton protein
P08871635A0000|0 19|B cell antigen receptor
P09099683A0000|0 19|Diacylglycerol kinase
P09312025T0000|0 19|Protein phosphatase 2A
P02572777T0000|0 19|Tumour necrosis factor
P08395654T0000|0 19|Steroidogenic factor 1
P11223240A0655|0 19|Drosophila Menin1 gene
P07693975T0000|0 19|Reverse transcriptase
P09670943T0000|0 19|B cell antigen receptor
P08389453A0193|0 19|Uracil DNA glycosylase
P02293019A0000|0 18|Antileukoproteinase
P09521909A0081|0 18|APETALA3 transcripts
P10606664A0000|0 18|Snail family proteins
P09914500A0000|0 18|Nuclear factor kappa B
P07841663A0685|0 18|Superoxide dismutase
P09363759A0000|0 18|Protein phosphatases
P09218459A0000|0 18|Serum response factor
P08955159A0000|0 18|Human acid ceramidase
P08627354A0000|0 18|Vertebrate synapsins
P06795119T0000|0 18|Lens aldose reductase
P02761008X0000|0 18|Brain cholinesterase
P09712898T0000|0 18|Tumor necrosis factor
P10542269A0000|0 18|Amyloid beta-protein
P02669199A0000|0 18|Tumor necrosis factor
P01083375T0000|0 17|Alpha-1 antitrypsin
P01437562A0462|0 17|Anti-CRK antibodies
P08473731A0149|0 17|B cell-specific mb-1
P09003312A0740|0 17|Full-length AT-PHH1
P08107167A0222|0 17|Anti-B. burgdorferi
P08166402A0631|0 17|Cerebral125 albumin
P09015799T0000|0 17|Serotonin receptors
P09751114A0967|0 17|Wild-type and mutant
P07490083A0000|0 17|Carbonic anhydrase V
P09751061A0000|0 17|POU-domain proteins
P08776901A0000|0 17|Chloroplast mutator
P11027724A0335|0 17|Recombinant BRI1-KD
P09622121A0525|0 17|Anti-PTB antibodies
P01330077A0000|0 17|T-cell receptor beta
P10980416T0000|0 17|Parathyroid hormone
P01822995T0000|0 16|Maize rbcS promoter
P10557308A0000|0 16|Connector enhancer
P09790771A0956|0 16|Gng3lg transcripts
P01918010A0000|0 16|Lipoprotein lipase
P10872827A0000|0 16|Penicillin acylase
P08887647T0000|0 16|Fission yeast mal2+
P11207269A0745|0 16|Anti-nucleolin mAb
P07811639A0222|0 16|Endo16 transcripts
P07929559A0000|0 16|Cytoplasmic dynein
P02196565T0000|0 16|Yeast Gal11 protein
P06718064T0001|0 16|Plasma lactoferrin
P11158236A0000|0 16|Nerve growth factor
P00818380A0239|0 15|Rheumatoid factor
P08932385T0000|0 15|Small Maf proteins
P08929563T0000|0 15|Rat liver catalase
P10323463T0000a|0 15|Interferon-alpha
P02566613T0000|0 15|Somatostatin gene
P10323463T0000b|0 15|Interferon-alpha
P10329574A1733|0 15|O. novo-ulmi RNA-7
P01624425A0907|0 15|Wild-type protein
P01316903A1040|0 15|RNA polymerase IIA
P07559524A0741|0 15|Cyclin D1 promoter
P10205176A0000|0 15|Nuclear receptors
P09884275T0000|0 15|Interferon-alpha
P09819038A0448|0 15|Recombinant FVIIa
P08463284A1531|0 15|Nuclear beta II PKC
P07891713T0000|0 15|Small Maf proteins
P08268718A0676|0 15|Human bcl3 protein
P03428274A0000|0 15|Nuclear factor III
P00239169T0000|0 15|Dopamine receptor
P01310935T0000|0 14|Drosophila UbcD1
P10819327T0000|0 14|C. elegans KLP-11
P06402859A0000|0 14|Antithrombin III
P07791783A0000|0 14|SRY-related cDNA
P08661007T0000|0 14|Human MN/CA9 gene
P06702257T0001|0 14|Antithrombin III
P11552922A0361|0 14|CYP2C19 genotype
P09525888A1482|0 14|Full-length FLAP
P09353343A0919|0 14|RNA polymerase II
P01441818T0001|0 14|Interferon type I
P11063169T0000|0 14|Botulinum toxin A
P10882850A0000|0 14|Endonuclease III
P10897973T0001|0 14|Antithrombin III
P08825554A0000|0 14|Tristetraprolin
P08453101A0128|0 14|Pokeweed mitogen
P10209759T0000|0 14|Antithrombin III
P07559233A0534|0 14|Citrate synthase
P03143048A1091|0 14|HDL-cholesterol
P10094396A0000|0 14|Topoisomerase II
P09837913A0000|0 14|Type 2 deiodinase
P00072928T0000|0 13|Serum-ferritin
P10505694A0000|0 13|Interleukin-12
P09541636T0000|0 13|Creatine kinase
P03937294A0404|0 13|Plasma secretin
P08663120T0000|0 13|Oncogenic Raf-1
P05027295T0034|0 13|Cholinesterase
P08654390A0000|0 13|Heme oxygenase 1
P08670910A0156|0 13|DNA polymerase E
P08348919T0000|0 13|Botulinum toxin
P09346938A1680|0 13|Ki-ras4BVal-12
P04139081T0001|0 13|HL-A antibodies
P08396749A1112a|0 13|LDL cholesterol
P02557217A0000|0 13|Beta-endorphin
P02527365T0000|0 13|Xenopus homolog
P06152670T0000|0 13|Plasma secretin
P02535460A1443|0 13|RNA transcripts
P08396749A1112b|0 13|LDL cholesterol
P08536694A0000|0 13|Protein kinases
P07575416A0000|0 13|Protein kinase C
P09427627T0000|0 13|Small-molecule
P10498616A1280|0 13|Mammalian M-Ras
P09606633A0523|0 13|Interferon beta
P01116466A0185|0 13|Thromboplastin
P09914525A0890|0 13|Recombinant Ffh
P02002051T0000|0 12|Isoform C beta 2
P08923470A0458|0 12|PPAR gamma mRNA
P10533066A0758|0 12|TSC1 mutations
P10850719A0680|0 12|Vbeta segments
P10490955T0000|0 12|Beta 1 integrin
P09211354A0000|0 12|Stromelysin-1
P02943562T0000|0 12|Penicillinase
P06513456T0001|0 12|Adenyl cyclase
P10628750T0000|0 12|Angiotensin II
P11313386A0704|0 12|SH2D1A protein
P06802500T0001|0 12|Thyreoliberin
P10607900T0000|0 12|Sak kinase gene
P07518426A0000|0 12|Interleukin-8
P07685823A1234|0 12|RNA polymerase
P09653641A0471|0 12|Human isoforms
P08281536A0626|0 12|Interleukin-6
P09452444A0000|0 12|Interleukin-6
P09397261A0940|0 12|Interleukin-1
P09346238T0000|0 12|F-box proteins
P08013348A0143|0 12|Mammalian ABPs
P07519606A1269|0 12|Anti-NPROSP-C
P11860876A0409|0 12|HIV-1 C subtype
P09098899A0000|0 12|Coliphage 186 B
P01317376A0981|0 11|Fructokinase
P06429992T0000|0 11|Gonadotropin
P09079928A0525|0 11|M. leprae OxyR
P09418040T0000|0 11|Mg-chelatase
P09524276A0939|0 11|LysR proteins
P09630245A0102|0 11|Yeast U1 snRNP
P07779558T0000|0 11|Muscle GSH-Px
P09819421A0000|0 11|Cyclophilins
P09795213A0129|0 11|RBP56 protein
P11059786A0682|0 11|VEGF promoter
P09642227A0000|0 11|Osteoadherin
P10488148T0000|0 11|ERK MAP kinase
P09763446A0000|0 11|Small GTPases
P07806532A0659|0 11|Protein cHMGI
P10704285A0536|0 11|Human AP-2rep
P09395470A0294|0 11|CKbeta4GT-II
P10633075A1111|0 11|Preimmune IgG
P08871567A0000|0 11|MSSP proteins
P06938948T0001|0 11|Secretory IgA
P09317131A0000|0 11|Ig heavy chain
P09630245A0903|0 11|Yeast U1 snRNP
P09538156A0130|0 11|BRCA1 protein
P08508778A0112|0 11|Yeast mutants
P08245461A0700|0 11|Hu-Met-1 mRNA
P11500913A1238|0 11|C/EBPbeta LIP
P00676790T0000|0 10|Angiotensin
P08702543A0000|0 10|Gap1(IP4BP)
P11279038A0194|0 10|WRN helicase
P09148770A0977|0 10|Cellular Csk
P09050849A0000|0 10|Cytohesin-1
P10446131A0132|0 10|PDGF A-chain
P08575614A0264|0 10|Rad6 mutants
P03499657A0000|0 10|Osteocalcin
P03027905A0632|0 10|Plasma renin
P10428811A1067|0 10|Cat proteins
P08144037A0000|0 10|Thioredoxin
P03015628A1078|0 10|Osteocalcin
P11116084A0000|0 10|Mouse Impact
P09790768A0621|0 10|Htra2-beta3
P07018810A0002|0 10|Plasma renin
P09544991A0483|0 10|PRL receptor
P09533030T0000|0 10|Cytochrome b
P09478976T0000|0 10|Oncostatin M
P03319646T0000|0 10|Plasma renin
P11027280A0536|0 10|Cam kinase II
P10748125A0000|0 10|Inhibitor-1
P06362143A0565|0 10|Plasma renin
P10551816A0162|0 10|Human LTBP-1
P08106369A0000|0 10|Vasopressin
P09368026A0000|0 10|Osteocalcin
P02303158T0000|0 10|Thyrotropin
P02542612A0530|0 9|S1 nuclease
P09813098A0521|0 9|Paralemmin
P11560990A0272|0 9|E47 protein
P11433024A0260|0 9|Telomerase
P03127463A1017|0 9|Human rIL-3
P06797063A0000|0 9|Factor VIII
P07959011A0379b|0 9|C/EBP alpha
P08997490A1127|0 9|C/EBP beta V
P10489680A0927|0 9|Sputum IL-8
P10531446A0203|0 9|Neuregulin
P09079625A0935|0 9|Syndecan-4
P11311980A1049|0 9|GABA(B)R1g
P09677405A0856|0 9|Pol32Delta
P08555498A0427|0 9|Human LAF-4
P10344736A0796|0 9|CDK4 kinase
P08923460A0565|0 9|RUSH-1 beta
P02529378A0536|0 9|S1 nuclease
P08356792T0000|0 9|HTLV-1 gene
P07959011A0379a|0 9|C/EBP alpha
P08118044A0318|0 9|GATA-1 mRNA
P06110026T0000|0 9|Endorphins
P06977605T0000|0 9|Endorphins
P10744026A0000|0 9|Invertases
P00054900A0226|0 9|Peroxydase
P07293327T0001|0 9|Fibrinogen
P01526658A0454|0 8|IFI 16 mRNA
P07565669T0000|0 8|Ras p21Val
P07635572A1153|0 8|CIITA mRNA
P08626437A0332|0 8|Lyn kinase
P04563045T0000|0 8|1,3-bis(2
P11312120A1311|0 8|NF-kappaB
P10373507A0680|0 8|SRFDelta5
P09933428A0351|0 8|IFN-gamma
P11350957A0457|0 8|PACAP mRNA
P09704006A0224|0 8|Arnt3 mRNA
P09506439A2179|0 8|PKC-gamma
P09716179A0974|0 8|RXR-gamma
P09776360A1781|0 8|NF-kappaB
P07652582A0000|0 8|INF-alpha
P09393771A1659|0 8|TNF-alpha
P09368760A0665|0 8|Human PDK1
P11529914T0000|0 8|NF-kappaB
P10840001A0188|0 8|Mucin gene
P09242551A0653|0 8|EBER1 mRNA
P08808707A0631|0 8|Ha-RasV12
P09139694A0789|0 8|CTF1alpha
P09225998A0000|0 8|NF-kappa B
P08643578A0000|0 8|RAS2val19
P11137296A1216|0 8|PFK-A mRNA
P08634420A1784|0 8|HuEpo-R Ab
P11123316T0000|0 8|Tec kinase
P02449431A1121|0 8|ATP gamma S
P09693035T0000|0 8|Human ULK1
P10429184A0000|0 8|Expansins
P01695905A0480|0 8|GLUT5 mRNA
P09651321A0000|0 8|Cystatin A
P10946303A0000|0 8|TNF-alpha
P10488148A0111|0 8|NF-kappaB
P11063742A0000|0 8|NF-kappaB
P01380062A0097|0 7|T antigen
P09111314A0970|0 7|Cyclin D1
P08812106T0000|0 7|PCNA mRNA
P09139721A0183|0 7|Cyclin G2
P10749932A0000|0 7|Paxillin
P09285789A0712|0 7|Human Duo
P01588965A0000|0 7|GCR1 gene
P10620777A1399|0 7|AB004534
P10641037A1371|0 7|AF154055
P10384129A0000|0 7|TCR alpha
P11836303A0518|0 7|TNFalpha
P02236064A1178|0 7|S6 kinase
P09845662A0085|0 7|Collagen
P10215594A1728|0 7|Glucagon
P09916809A0405|0 7|Human MGP
P11239529A0981|0 7|IL-1beta
P07535768A1076|0 7|HVH2 mRNA
P08264664A0128|0 7|TGF beta 1
P10553551A0000|0 7|Factor XI
P03371894A0355|0 7|Vimentin
P11131634A0955|0 7|NF kappa B
P08454858A0285|0 7|Ig-alpha
P08306959A0278|0 7|IFN alpha
P10523674A0000|0 7|RNase MRP
P01916632A0431|0 7|Anti-HBc
P10464291A0597|0 7|IL-1beta
P02444507A0240|0 7|Lysozyme
P02144610A1306|0 7|TCR alpha
P01864510A0946|0 7|Dd PK1 RNA
P09420234A0654|0 7|MpB GroEL
P10713176A0885|0 7|D-cyclin
P11119611A0428|0 7|ORFK10.5
P07293100T0001|0 6|Gastrin
P10542249A0415|0 6|Albumin
P10713176A0422|0 6|Cyclin A
P00083846T0000|0 6|Albumin
P09920930A0521|0 6|C3 toxin
P10228155A1293|0 6|SCFFWD1
P10613816X0000|0 6|Statins
P10329736A1106|0 6|Insulin
P10350638A0000|0 6|Latexin
P10385915A1341|0 6|D3S1261
P10544113A0293|0 6|EIAV LTR
P07835273A0000|0 6|Insulin
P10441506A0098|0 6|PKNbeta
P02113174A0957|0 6|Krox-24
P08625806A0263|0 6|Krox-20
P10773458A0000|0 6|SNAP-23
P09254678A0106|0 6|Gtx mRNA
P09169593T0000|0 6|Insulin
P09185183T0000|0 6|Merosin
P11112700A1936|0 6|Plectin
P10743608A1154|0 6|TbRAB31
P11314046A0000|0 6|Cyclins
P09789025A0149|0 6|Galphaq
P09712037A0470|0 6|Tctex-1
P10562418A0238|0 6|Insulin
P08628251A1455|0 6|CM-ACO3
P10604583T0000|0 6|Albumin
P01081904A0198|0 5|Fibrin
P09211934A0722|0 5|DNase I
P01649318A0734|0 5|EBNA-2
P10473598A0691|0 5|Skn-1a
P07693672A0259|0 5|DNase I
P10551788A0229|0 5|LHbeta
P10684967A0000|0 5|NKX2.1
P10433970A0279|0 5|Spfkh1
P09705324A0213|0 5|DNase I
P09761723A0226|0 5|GETS-1
P09001245A0187|0 5|NUP145
P01394655A0615b|0 5|Urease
P01328219A1397|0 5|NSCL-1
P10712512A0506|0 5|Ste18p
P08134115A1161|0 5|MSSP-1
P09651375T0000|0 5|GTPase
P11413310A0148|0 5|RANTES
P11589779T0000|0 5|HTLV-1
P09271394A0558|0 5|DNase I
P11578685A0077|0 5|ICAM-1
P09187136A0000|0 5|SSeCKS
P08927612T0000|0 5|Ki-ras
P11413148A0573|0 5|STAT5A
P09535835A0279|0 5|ROCK-I
P08617800A0675|0 5|DNase I
P08647884A0547|0 5|E3/19K
P09414319A1442|0 5|Y15170
P08534367A0984|0 5|PTP-S3
P08476854A0097|0 5|DNase I
P08093616A1214|0 5|DNase I
P06395804A0382|0 5|Urease
P09328476A0374|0 5|Hprp3p
P01480470A0323|0 5|BiP670
P10653697A0133|0 5|Actins
P10905349A0329|0 5|Mus81p
P10339566A0602|0 5|Spc42p
P11094072A0842|0 5|DNase I
P11223257A0404|0 5|OsBBPI
P06233924T0000|0 5|Fibrin
P11220306A0911|0 5|HexA71
P02830265A0341|0 5|RPA190
P07816049A0686|0 5|Atcys1
P02320008A0651|0 5|TMBr-1
P06810694A1000|0 5|Apo A-I
P01581577A1186|0 4|PSI-G
P11331604A0267|0 4|Srb10
P11517269A0472|0 4|Pitx2
P11361493T0000|0 4|HIV-1
P11264176A0181|0 4|B-myb
P11046148A0716|0 4|LMP2A
P11358962A0344|0 4|Foxp1
P10407985A0574|0 4|G-CSF
P08005438A1185|0 4|SPP41
P09882303A1413|0 4|TRAF2
P09002648A0202|0 4|BCL-2
P09468386A0594|0 4|Pet-1
P09650299A0000|0 4|VirD2
P09528758T0000|0 4|Rex-1
P10915780A1063|0 4|Wnt-1
P08898365A0274|0 4|Rss1p
P08070654A0574|0 4|CDC31
P09065690A0463|0 4|Ume6p
P09121476T0000|0 4|PRH75
P10807903A0362|0 4|D5/D1
P10477597A0126|0 4|TRAF2
P10505694A0739|0 4|IL-12
P10428811A0628|0 4|Cat-1
P10358075A0984|0 4|DAF16
P09704927A0479|0 4|E2F-6
P09584165T0000|0 4|RACK1
P09710615T0000|0 4|Vam7p
P09502720A0214|0 4|CyIIa
P09891085A0815|0 4|Nip7p
P10359603A0430|0 4|Vac1p
P09857197A0289|0 4|Yap1p
P09407036T0000|0 4|Tcn1p
P09353255A0159|0 4|Rip1p
P09792627A0441|0 4|SRC-1
P10518502T0000|0 4|nos-1
P09169853A0000|0 4|Pax-3
P09058373A0670|0 4|RNase
P08898336A0268|0 4|RNase
P08887661A0138|0 4|IRF-1
P09223479A1193|0 4|ORF M1
P08977235A0134|0 4|G-CSF
P09244350A0000|0 4|BRCA1
P08196618A0473|0 4|PRL-1
P08627667A0132|0 4|ZEBRA
P08552095A1115|0 4|Paf1p
P09257887A0457|0 4|G-CSF
P08522175A0306|0 4|Egd1p
P10653359A1297|0 4|Scmh1
P06322183A1070|0 4|NPT II
P01731933T0000a|0 4|Zn(II
P07542616A0486|0 4|GCD10
P08204348T0000|0 4|VP-16
P05362866T0000|0 4|Renin
P08504933A0000|0 4|Pit-1
P07972831A0563|0 4|PAI-1
P07959953A0423|0 4|IFI16
P08576245A0000|0 4|GRP78
P08575618A1138|0 4|RNase
P08497273T0000|0 4|NF-HB
P10233147A0218|0 4|Ras2p
P03785212A1128|0 4|RPS14
P08648665A1320|0 4|ORF E8
P09797456A0883|0 4|AMY-1
P02196176A0749|0 4|TREB7
P07679390A0721|0 4|RNase
P02204029A0184|0 4|RNase
P06775834A0000|0 4|HLA-A
P01731933T0000b|0 4|Zn(II
P01691184A0995|0 4|Gap b3
P01695322A0000|0 4|Wnt-1
P01502157A0000|0 4|ME1a1
P07678006A0472|0 4|RNase
P07542616A0313|0 4|GCD10
P10908364A0000|0 4|G-DNA
P10675610A0279|0 4|MSSPs
P10891266A0421|0 4|ACE-2
P10851267A0000|0 4|E2F -1
P11000250A0200|0 4|LMP-1
P10698937T0000|0 4|TIP30
P10400757A0000|0 4|CXCR4
P09848653A0597|0 4|Nhp2p
P07579328A0653|0 4|MZF-1
P07871891A0227|0 4|SUP46
P07888623A0721|0 4|PMEK1
P08072547T0000|0 4|c-Fos
P00030937A0119|0 3|SGPT
P07957085A0207|0 3|Cbf3
P04778129T0000|0 3|9,11
P09286981A0147|0 3|ArgR
P07557424A0124|0 3|XYL1
P08509335T0000|0 3|SSG1
P07914192A0211|0 3|HER2
P08532536A0925|0 3|TIEG
P08413274A0452|0 3|MDBP
P08139928T0000|0 3|RNP1
P08649372A0501|0 3|Clb2
P08012448T0000|0 3|INO2
P08647086A0622|0 3|Cdk2
P08621659A0189|0 3|Gas6
P07926748A0383|0 3|NOT4
P01588961A0000|0 3|STP1
P07879204T0000|0 3|OKT3
P08918885A0811|0 3|Kss1
P10564474T0000|0 3|PhoP
P01459451A0478|0 3|GAL4
P10594239A0614|0 3|Tih1
P09560430A0000|0 3|Ime1
P11113201A1114|0 3|Pmt2
P09006051A1162|0 3|PrpB
P09020169A0552|0 3|SIM1
P11108720A0124|0 3|S6K2
P10894149T0000|0 3|PNRC
P11274184A0000|0 3|Nrf2
P11263664T0000|0 3|SIP1
P08552670A0665|0 3|Abp1
P08510647A1347|0 3|Beg2
P10430421T0000|0 3|APOE
P08336698T0000|0 3|TFEC
P11560992A0651|0 3|SAPK
P11473254A0000|0 3|NaeI
P08106325A0000|0 3|DtxR
P08223613A0105|0 3|GGS1
P08070654A0000|0 3|KAR1
P11559366T0000|0 3|E2F1
P08045431A0894|0 3|HupI
P07954891T0000|0 3|ERV1
P08048916A0000|0 3|IGF I
P11287654A0150|0 3|PABP
P11387208T0000|0 3|SKP1
P11331596A0710|0 3|Prrp
P10850329A0248|0 3|IL-2
P11473261A0587|0 3|Mss4
P03275867A0187|0 3|GRFI
P03036933A0774|0 3|ACTH
P02125016A0145|0 3|PBSX
P02779752A0000|0 3|1-(1
P03062370A0000|0 3|GCN4
P02538720A0582|0 3|UbiA
P01825027T0000|0 3|PAS1
P01837842A1410|0 3|CREB
P07768953T0039|0 3|EEA1
P07783641A0591|0 3|CodY
P07791760A0424|0 3|GnRH
P07665477A0901|0 3|EsaR
P07535593A0714|0 3|CD7+
P07791769A0826|0 3|ICP4
P07499409A0367|0 3|TPBF
P10438950A0580|0 3|IL-1
P10779329T0000|0 3|Slap
P10810294A0730|0 3|Stat
P10487921A0132|0 3|ATF1
P10086725A0000|0 3|MDS1
P10393197A0543|0 3|DDP1
P10381570A1355|0 3|Slp1
P09844106A0835|0 3|Pyk2
P11056019A0926|0 3|MED1
P11016954A0438|0 3|AGO1
P10931950A0869|0 3|Cdk2
P09770378A0641|0 3|EGFR
P10947840A0762|0 3|Mis3
P09115279A0345|0 3|Cdc2
P09584194A0000|0 3|HEF1
